jobDate,jobHref,jobLocation,jobPlan,jobTitle,jobType,jobWay
6月2日至6月6日,/show-4018-46137.html,贵州省直,27人,贵州省第二人民医院2023年公开招聘事业编制工作人员方案,事业单位编内正式,网络报名,6月17日,
6月2日至6月6日,/show-4018-46136.html,贵州省直,138人,贵州中医药大学第二附属医院2023年公开招聘事业编制工作人员方案,事业单位编内正式,网络报名,,
5月24日至6月30日,/show-4018-41948.html,贵州省直,17人,贵州高峰石油机械股份有限公司2023年招聘简章,国有企业合同制,电子邮件,,
5月23日至5月26日,/show-4018-46141.html,贵州省直,74人,贵州师范学院2023年科研助理岗位招聘公告(一),事业单位临时聘用,电话报名,,
5月30日至6月3日,/show-3862-46135.html,遵义,25人,贵州长征文化旅游（集团）有限公司2023年公开招聘简章,国有企业合同制,网络报名,,
5月22日至5月25日,/show-3866-46134.html,安顺,1人,紫云亚太商务有限责任公司2023年招聘公告,国有企业合同制,现场报名,,
5月24日至6月30日,/show-3886-32244.html,黔东南,1人,交通银行黔东南分行2023年劳务外包岗位招聘公告,国有企业劳务派遣,电子邮件,,
5月24日起,/show-3878-42312.html,毕节,68人,纳雍希鸣高级中学2023年教师招聘启事,民营企业合同制,电子邮件,,
6月1日至6月3日,/show-4018-46131.html,贵州省直,7人,贵州省总工会所属事业单位2023年公开招聘工作人员方案,事业单位编内正式,网络报名,6月17日,
6月1日至6月3日,/show-4018-46130.html,贵州省直,57人,贵州医科大学附属医院2023年公开招聘事业编制工作人员方案,事业单位编内正式,网络报名,6月10日,
5月23日至6月6日,/show-4018-46129.html,贵州省直,50人,中国建设银行贵州省分行2023年度乡村振兴专项招聘公告,国有企业合同制,网络报名,,
5月30日起,/show-3874-46128.html,铜仁,115人,铜仁市人民医院2023年上半年公开招考技术岗位人员简章,事业单位编外合同,现场报名,,
6月1日至6月3日,/show-4018-46127.html,贵州省直,48人,贵州省文化和旅游厅直属事业单位2023年公开招聘工作人员方案,事业单位编内正式,网络报名,6月17日,
6月1日至6月3日,/show-4018-46126.html,贵州省直,1人,贵州省生态移民局所属事业单位2023年公开招聘工作人员方案,事业单位编内正式,网络报名,6月17日,
6月1日至6月3日,/show-4018-46125.html,贵州省直,36人,贵州省林业局直属事业单位2023年公开招聘工作人员方案,事业单位编内正式,网络报名,6月17日,
5月24日至6月11日,/show-3890-46124.html,黔南,4人,独山县卫生健康局2023年招聘编制外工作人员公告,事业单位编外合同,电子邮件,,
6月1日至6月2日,/show-3878-46133.html,毕节,2人,金沙县人武部2023年面向社会公开招聘劳动合同制人员简章,政府机关编外合同,现场报名,6月10日,
5月23日至5月27日,/show-3862-46123.html,遵义,2人,绥阳县经济贸易局2023年选调工作人员公告,政府机关编内正式,现场报名,,
5月25日至5月26日,/show-3870-46117.html,六盘水,9人,六盘水市钟山区妇幼保健院2023年第一批面向社会公开招聘合同制专业技术人员公告,事业单位编外合同,现场报名,,
5月24日至6月6日,/show-3886-44989.html,黔东南,1人,黔东南州能源投资有限公司2023年招聘公告,国有企业合同制,电子邮件,,
5月24日至5月26日,/show-3862-46132.html,遵义,5人,遵义市播州区鸭溪镇卫生院2023年招聘人员（非编制）工作方案,事业单位编外合同,现场报名,,
5月22日至6月1日,/show-3882-46122.html,黔西南,2人,册亨县坡妹镇人民政府2023年招聘公益性岗位人员公告,政府机关临时聘用,现场报名,,
5月24日至5月26日,/show-3890-43724.html,黔南,1人,贵州医科大学第三附属医院2023年招聘合同制技师简章,事业单位编外合同,电子邮件,,
5月28日至5月30日,/show-3857-46121.html,贵阳,7人,开阳投资集团有限责任公司2023年专业人员招聘简章,国有企业合同制,电子邮件,,
5月21日至5月27日,/show-3857-35797.html,贵阳,2人,贵州数安汇大数据产业投资有限公司2023年招聘简章,国有企业合同制,微信报名,,
5月31日至6月2日,/show-3866-46120.html,安顺,40人,安顺市平坝区2023年公开招聘中小学教师公告（第一号）,事业单位编内正式,网络报名,6月17日,
6月5日至6月7日,/show-3878-46119.html,毕节,130人,毕节市七星关区2023年面向社会公开招聘中小学教师简章,事业单位编内正式,网络报名,6月18日,
5月23日至5月28日,/show-3882-46116.html,黔西南,6人,兴仁市农通牧业发展有限责任公司2023年招聘公告,国有企业合同制,电子邮件,,
5月29日至5月31日,/show-3857-46115.html,贵阳,21人,贵阳市观山湖区卫生健康系统2023年面向社会公开招聘“双轨制”人员简章,事业单位劳务派遣,网络报名,,
5月25日至5月29日,/show-3862-46113.html,遵义,2人,贵州茅台酒厂（集团）技术开发有限公司2023年专业人才招聘公告,国有企业合同制,电子邮件,,
5月29日至5月31日,/show-3874-46112.html,铜仁,3人,铜仁市疾病预防控制中心2023年公开引进事业单位专业技术人才实施方案,事业单位编内正式,现场报名,,6月17日
5月25日至5月26日,/show-3882-42437.html,黔西南,12人,安龙县城市管理综合行政执法局2023年公开招聘协管员公告,政府机关临时聘用,现场报名,,5月30日
5月22日至5月24日,/show-3890-46118.html,黔南,1人,龙里县龙山镇人民政府2023年面向社会公开招聘临聘人员简章,政府机关临时聘用,现场报名,,
5月24日至5月26日,/show-3862-45105.html,遵义,13人,遵义市播州区卫生健康事业单位2023年5月公开招聘编制外工作人员公告,事业单位编外合同,电话报名,,
5月22日起,/show-3866-43571.html,安顺,9人,贵州风雷航空军械有限责任公司2023年招聘启事,国有企业合同制,电子邮件,,
5月24日至5月26日,/show-3874-41555.html,铜仁,18人,江口县人民医院2023年第四次公开招聘编外人员实施方案,事业单位编外合同,现场报名,,
